제목,링크,내용
전력거래소, <b>어린이</b>교통안전 릴레이 챌린지 참여,http://www.energydaily.co.kr/news/articleView.html?idxno=121367,이 챌린지는 지난해 월 행정안전부 주도로 시작한 국민 참여 캠페인으로 어린이 보호구역 내 교통사고를 예방하고 어린이 보호 최우선 문화 정착을 위해 진행되고 있다 어린이 교통안전 슬로건인 단 멈춤 쪽 저쪽 
심미선 신양화학 대표 ‘<b>어린이</b> 교통안전 릴레이 챌린지’ 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003960958,어린이 교통안전 챌린지는 지난 해 월 행정안전부에서 어린이 교통안전에 대한 국민적 관심을 높이고 어린이 보호구역내 교통사고 예방과 어린이 보호를 최우선으로 하는 문화 정착을 위해 시작한 캠페인이다 심 대표는 
전력거래소, '<b>어린이</b>교통안전 릴레이 챌린지' 참여,http://www.newsworker.co.kr/news/articleView.html?idxno=128713,이 챌린지는 지난해 월 행정안전부 주도로 시작한 국민 참여 캠페인으로 어린이 보호 구역 내 교통사고를 예방하고 어린이 보호 최우선 문화 정착을 위하여 시작했다 어린이 교통안전 슬로건인 단 멈춤 쪽 저쪽 초 
서울시 &quot;2학기 개학 ‘<b>어린이 보호구역</b> 불법 주·정차’ 특별단속&quot;,https://www.etoday.co.kr/news/view/2058949,이투데이홍인석 기자 | 월 일 오후 경기도 수원시 영통구 한 초등학교 인근 어린이보호구역스쿨존에 불법주차한 차량들이 줄지어 서 있다 일부터 도로교통법 시행령 개정으로 어린이보호구역 내 불법주정차 
남양주시, 조안면 <b>어린이</b>들 주요 대권 후보자들에 편지 부친 사연은?,http://www.weeklytoday.com/news/articleView.html?idxno=404242,조안면 어린이들이 쓴 편지들 남양주시 조안면에 거주하는 어린이들이 일 상수원 규제 개선의 간절한 희망을 담은 소망 편지를 주요 대권 후보자들에게 부쳤다 조안면은 년 개발제한구역을 따라 상수원보호구역 
군산경찰서, <b>어린이보호구역</b> 무인교통단속장비 신규 설치,http://www.gukjenews.com/news/articleView.html?idxno=2303941,군산경찰서서장 임종명는 민식이법 시행및 어린이들의 안전한 통학로 조성을 위해 군산시와 유기적인 협의를 통해 올해 월부터 어린이보호구역 내에 무인교통단속장비를 월명초교 등 대 설치하기 시작하여 월 중 
대홍기획, ‘<b>어린이</b> 교통안전 릴레이 챌린지’ 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004964703,어린이 교통안전 릴레이 챌린지는 지난해 월 행정안전부를 시작으로 어린이 보호구역 내 사고 예방을 위한 교통안전 문화를 확산하기 위해 릴레이로 진행 중인 캠페인이다 대홍기획은 롯데알미늄 조현철 대표이사의 
여수시, <b>어린이보호구역</b> 내 안전사고 제로화 ‘온힘’,http://www.thekpm.com/view.php?ud=2021090800313034038c6567be4c_17,무인교통단속장비 노란신호등 등 안전인프라 확충 여수시가 어린이들의 안전한 등하굣길을 보장하기 위해 어린이보호구역 내 교통안전시설물 확충에 박차를 가하고 있다 여수시는 올해 약 억 원을 들여 
광양시, <b>어린이보호구역</b> 114개소 불법주정차 단속 강화,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005573952,전남 광양시는 월일부터 어린이 교통사고 예방을 위해 어린이보호구역 개소내 불법주정차 차량에 대한 집중단속을 강화한다 시는 도로교통법 시행령 개정에 따라 지난 월 어린이보호구역 개소덕례초 
대홍기획, ‘<b>어린이</b> 교통안전 릴레이 챌린지’ 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001884035,어린이 교통안전 릴레이 챌린지는 지난해 월 행정안전부를 시작으로 어린이 보호구역 내 사고 예방을 위한 교통안전 문화를 확산하기 위해 릴레이 진행 중인 캠페인이다 대홍기획은 롯데알미늄 조현철 대표이사의 
전력거래소, <b>어린이</b>교통안전 릴레이 챌린지 참여,http://www.businesskorea.co.kr/news/articleView.html?idxno=76023,이 챌린지는 지난해 월 행정안전부 주도로 시작한 국민 참여 캠페인으로 어린이 보호 구역 내 교통사고를 예방하고 어린이 보호 최우선 문화 정착을 위하여 시작하였다 정동희 이사장은 전력거래소 
<b>어린이</b> 교통사고, 지역사회 관심·주의 필요,http://www.jjn.co.kr/news/articleView.html?idxno=834953,특히 어린이보호구역에서의 사고도 잇따랐다고 한다 지난해 어린이 보호구역 내 교통사고는 총 건으로 월별로는 월 건 월 건 월 건 순으로 많이 발생했다고 한다 연령별로는 최근 년간은 
유효열 화성도시공사 사장, '<b>어린이 보호</b> 교통안전 릴레이 챌린지' 참여,http://www.enewstoday.co.kr/news/articleView.html?idxno=1511088,사진화성도시공사 어린이 보호 교통안전 릴레이 챌린지는 지난해 월부터 행정안전부가 주관하는 공익 캠페인으로 어린이 보호구역 내 교통안전 문화 확산을 위해 시작한 릴레이 캠페인이다 참여자가 교통안전 
용흥-반월초 <b>어린이</b> 교통사고 다발 오명,http://www.jjn.co.kr/news/articleView.html?idxno=834850,어린이보호구역에서의 사고도 잇따랐다 지난해 어린이 보호구역 내 교통사고는 총 건으로 월별로는 월 건 월 건 월 건 순이었다 연령별로는 최근 년간은 취학 전 어린이가 전체 
서울시, 2학기 '<b>어린이보호구역</b> 불법 주정차' 특별단속…&quot;위반차량 무관용&quot;,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004963228,서울시가학기 개학을 맞이해 교통사고 없는 안전한 등하굣길 조성을 위해 오는 일부터 일까지 일간 어린이보호구역 불법 주정차 특별단속을 실시한다고 일 밝혔다 어린이보호구역 개소를 대상으로 실시하는 
초등 전면등교 앞두고…경찰, 하교 시간 <b>어린이보호구역</b> 집중 단속,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=028&aid=0002558405,다음달 일 예정된 초등학교 전면등교에 맞춰 경찰이 어린이보호구역스쿨존 내 교통 단속을 강화한다 서울경찰청은 일 초등학교 전면등교에 맞춰 어린이보호구역 교통법규 위반과 불법 주정차를 집중 단속한다고 
효성ITX, ‘<b>어린이</b> 교통안전 릴레이 챌린지’ 동참,https://www.etoday.co.kr/news/view/2060587,어린이 보호구역 내 교통사고를 예방하고 어린이 보호 최우선 문화 정착과 사회적 공감대를 형성하기 위해 릴레이 형식으로 진행되고 있다 한국장애인고용공단 서울남부지사장의 지명으로 참여하게 된 남경환 대표는 
스쿨존서 <b>어린이</b> 친 택시기사 벌금 300만원,http://www.jejumaeil.net/news/articleView.html?idxno=306003,어린이 보호구역에서 횡단보도를 건너는 어린이를 친 택시 운전사에게 벌금형이 선고됐다 제주지방법원 제형사부재판장 장찬수 부장판사는 특정범죄 가중처벌 등에 관한 법률 위반어린이 보호구역 치상 혐의로 
<b>어린이보호구역</b> 사고 70대 택시기사 ‘벌금 300만 원’,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=056&aid=0011117388,
유효열 화성도시공사 사장, “<b>어린이 보호</b> 교통안전 함께 해요”,http://www.nspna.com/news/?mode=view&newsid=525507,일 공사에 따르면 챌린지는 지난해 월부터 행정안전부가 주관하는 공익 캠페인으로 어린이 보호구역 내 교통안전 문화 확산을 위해 시작한 릴레이 캠페인이다 참여자가 교통안전 슬로건과 함께 촬영한 모습을 
장수경찰서, <b>어린이</b> 등굣길 안전하게,http://sjbnews.com/news/news.php?number=722505,어린이보호구역 내 안전한 교통문화 조성을 위해 교통지역경찰 합동으로 교통지도 활동을 지속적으로 실시하고 있는 경찰서는 어린이보호구역 내 불법 주정차 근절을 위한 단속활동을 병행 실시하고 있다 특히 이날 
이곳은 <b>어린이 보호구역</b>입니다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005579037,일 서울 청담동의 한 철거 공사 현장에 가림막이 붕괴돼 어린이 보호구역으로 쓰러져 있다 경찰에 따르면 이날 오전 시 분께 가림막 가량이 옆으로 쓰러졌으며 이 사고로 다친 사람은 없었다 뉴스
경찰, 초등학교 전면등교 맞춰 '<b>어린이 보호구역</b>' 집중 단속,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003546716,경찰이 지난 일부터 일까지 어린이보호구역 교통법규 위반을 단속한 결과 총 건수는 건으로 이 중 불법주정차가 건으로 가장 많았고 과속 건 신호위반 건 이륜차 횡단보도 승차주행 건 보행자 
경기남부자치경찰위, ‘<b>어린이</b>·청소년 안전확보 종합대책’ 추진,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005570108,또 경기남부권 어린이보호구역 개소 인근 보행량과 사고내역에 대한 빅데이터 분석을 진행해 올해 말까지 통학로 관리의 과학적 기준을 제시하고 보호구역 주요 교차로에 노란신호등 설치 확대 방안을 협의할 
<b>어린이</b> 참변…인천 신광초 스쿨존, 화물차 못 다닌다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005574600,화물차에 치어 살 어린이가 숨지는 사고가 발생한 인천 신광초등학교 어린이보호구역스쿨존 내 화물차 통행이 제한된다 인천자치경찰위원회는 신광초 스쿨존의 화물차 통행 제한을 월일부터 시행한다고 일 
[기고] <b>어린이보호구역</b> 교통사고예방은 우리의 안전운전습관으로 지키자,http://www.m-i.kr/news/articleView.html?idxno=859648,로 가장 높게 발생하고 있다고 하며 그리고 년도대비 현재 년도 어린이 보호구역 내 교통사고 건수와 사망자 수는 전년 대비 와  감소 추세이나 방심할 수는 없고 운전자들의 안전운전습관을 토대로 
고령경찰서 <b>어린이</b> 등굣길 교통안전 합동 캠페인,http://www.kbmaeil.com/news/articleView.html?idxno=908869,이날 고령경찰서 고령교육지원청 고령초교 교직원 한국교통장애인협회 고령군지회 녹색어머니연합회 모범운전자회 등 여명이 참여해 어린이 보호구역 교통법규 준수 등을 홍보하며 저학년을 대상으로 스쿨존 
서울시, 2학기 개학 '<b>어린이보호구역</b> 주·정차' 특별단속… 무관용 처분,http://www.kbiznews.co.kr/news/articleView.html?idxno=85982,시구서울경찰 어린이보호구역 합동 집중단속 모습 서울시 제공 서울시는 코로나 위기 속에 학기 개학을 맞아교통사고 없는 안전한 등하굣길 조성을 위해 오는 일월부터 일금까지 일간 어린이보호구역 
서초구, 전국 최초 모든 <b>어린이보호구역</b>에 '과속단속카메라' 설치,http://www.jeonmae.co.kr/news/articleView.html?idxno=854159,어린이보호구역 앞에 과속단속카메라가 설치된 모습 서초구 제공 서울 서초구구청장 조은희는 올 연말까지 지역 내 모든 어린이보호구역초등학교 유치원 어린이집 특수학교 외국인학교에 과속단속카메라 
[여전히 위험한 스쿨존] <b>어린이보호구역</b> 교통사고 다발지역 가보니…,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=088&aid=0000719334,이곳은 어린이보호구역으로 차량 속도를 줄이고 전방 좌우를 살펴야 했지만 이를 게을리했다 이 어린이는 발목과 발에 찰과상을 입었다 년 월 일 낮 시 분쯤 대구 수성구의 한 초등학교 후문 앞을 지나던 
<b>어린이보호구역</b> 사고 하교시간 집중…경찰, 학교앞 집중단속 추진,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=081&aid=0003212302,지난 년간 서울 어린이보호구역에서 발생한 교통사고 가운데 유치원초등학교 저학년세과 하교 시간대인 오후 시에 사고가 몰린 것으로 조사됐다 서울경찰청은 초등학교 전면 등교에 맞춰 어린이보호구역 
유효열 화성도시공사장, &quot;<b>어린이 보호</b> 교통안전 릴레이 챌린지&quot; 참여,http://www.kmaeil.com/news/articleView.html?idxno=303510,어린이 보호 교통안전 릴레이 챌린지는 지난해 월부터 행정안전부가 주관하는 공익 캠페인으로 어린이 보호구역 내 교통안전 문화 확산을 위해 시작한 릴레이 캠페인이다 참여자가 교통안전 슬로건과 함께 촬영한 
전력거래소, <b>어린이</b>교통안전 릴레이 챌린지 참여,http://www.pinpointnews.co.kr/view.php?ud=202109081428303114f090c8dbcb_45,이 챌린지는 지난해 월 행정안전부 주도로 시작한 국민 참여 캠페인으로 어린이 보호 구역 내 교통사고를 예방하고 어린이 보호 최우선 문화 정착을 위해 시작했다 어린이 교통안전 슬로건인 단 멈춤 쪽 저쪽 초 
<b>어린이보호구역</b> 덮친 철거현장 가림막,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005579063,일 서울 청담동의 한 철거 공사 현장에 가림막이 붕괴돼 어린이 보호구역으로 쓰러져 있다 경찰에 따르면 이날 오전 시 분께 가림막 가량이 옆으로 쓰러졌으며 이 사고로 다친 사람은 없었다 뉴스
<b>어린이 보호구역</b> 덮친 공사현장 가림막,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005579056,일 서울 청담동의 한 철거 공사 현장에 가림막이 붕괴돼 어린이 보호구역으로 쓰러져 있다 경찰에 따르면 이날 오전 시 분께 가림막 가량이 옆으로 쓰러졌으며 이 사고로 다친 사람은 없었다 뉴스
(영상)&quot;스쿨존 무단횡단 <b>어린이</b> 충돌…합의금 800만원?&quot;,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=018&aid=0005024138,어린이보호구역스쿨존에서 무단횡단을 하던 아이와 부딪힌 운전자가 만원의 배상금을 요구받고 있는 것으로 알려져 논란이다 일 유튜브 채널 한문철 에 공개된 영상에 따르면 운전자 씨는 지난 월 일 
광주광역시 광산구, 개학 맞이 <b>어린이</b> 교통안전 캠페인 실시,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=468&aid=0000787427,광주광역시 광산구는 일 은빛초등학교 주변 스쿨존어린이 보호구역에서 도로교통공단 광주전남지부본부장 김창용 광산녹색어머니회 광산모범운전자회 은빛초교 교직원과 함께 개학 맞이 어린이 교통안전 
인천경찰청, 신광초교 <b>어린이보호구역</b> 안전점검,http://mbnmoney.mbn.co.kr/news/view?news_no=MM1004432513,송민헌 인천경찰청장이 오늘일 중구청장 남부교육지원청장 등과 합동으로 신광초교 어린이보호구역 안전실태를 점검했습니다 이 곳에선 지난 월 톤 화물차량에 의한 교통사고로 하교하던 초등학생이 사망한 
서초구, 전국 최초 모든 <b>어린이보호구역</b> 내 과속단속카메라 설치 완료,http://www.shinailbo.co.kr/news/articleView.html?idxno=1457896,서울 서초구가연말까지 지역내 모든 어린이보호구역초등학교유치원어린이집특수학교외국인학교에 과속단속카메라 설치를 완료한다 일 구에 따르면 이는 전국에서 가장 빠르게 모든 보호구역 내대 이상 
여수시, <b>어린이보호구역</b> 무인교통단속장비 22대 설치,http://www.breaknews.com/832212,전남 여수시는 일 어린이들의 안전한 등하굣길을 위해 어린이보호구역 곳에 무인교통단속장비 대를 설치했다고 밝혔다 이를 위해 여수시는 올해 국비 억 
시흥시 군자동·대야동, 안전한 통학로 확보 위한 <b>어린이보호구역</b> 개선 사업 ...,http://www.kmaeil.com/news/articleView.html?idxno=303350,먼저 군자동 어린이보호구역 시설개선 사업은 군자초등학교와 도일초등학교 주변의 열악한 통행 환경 개선을 위해 신청한 년도 차 경기도 특별조정교부금 억원을 교부받아 실시하는 사업이다 학교 주변에 
‘초등학교 전면등교’ 대비…경찰, <b>어린이보호구역</b> 집중단속,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001880207,서울경찰청은 다음달 일 초등학생 전면등교 가능성에 대비해 어린이보호구역 내 교통법규 위반과 불법 주정차 등에 대한 집중 단속에 나설 예정이라고 일 밝혔다 앞서 교육부는 이달 일 발표한 학기 학사운영 
<b>어린이 보호구역</b> 위로 쓰러진 공사 가림막,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005579061,일 서울 청담동의 한 철거 공사 현장에 가림막이 붕괴돼 어린이 보호구역으로 쓰러져 있다 경찰에 따르면 이날 오전 시 분께 가림막 가량이 옆으로 쓰러졌으며 이 사고로 다친 사람은 없었다 뉴스
인천경찰청장, 신광초교 <b>어린이보호구역</b> 안전점검,http://www.incheonnews.com/news/articleView.html?idxno=403779,교통안전시설 개선사항 화물차 통행제한 시행 등 점검 송민헌 송민헌 인천경찰청장은 일 오늘 오전 중구청장 남부교육지원청장 등과 합동으로 신광초교 어린이보호구역 안전실태를 점검했다 이곳에서는 지난 월 
제주 <b>어린이보호구역</b>서 전방 주시 소홀로 상해사고 낸 70대 '벌금형',https://news.bbsi.co.kr/news/articleView.html?idxno=3043755,제주의 한 어린이보호구역에서 운전을 하다 전방 주시 소홀로 상해사고를 낸 대 택시 운전기사가 벌금형을 선고받았습니다 제주지방법원은 특정범죄 가중 처벌 등에 관한 법률 위반어린이보호구역치상 혐의로 
대구교대 박판우 총장, '<b>어린이</b> 교통안전 릴레이 챌린지'캠페인 참여,http://www.kyosu.net/news/articleView.html?idxno=76318,대구교대 박판우 총장 지난해 월부터 행정안전부 주관으로 시작한 어린이 교통안전 릴레이 챌린지는 어린이 보호구역 내 교통사고 예방과 어린이 보호 최우선 문화 정착에 대한 사회적 공감대를 형성하기 위해 
광주 광산구, 개학 맞이 <b>어린이</b> '교통안전 캠페인' 전개,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004963922,광주광역시 광산구구청장 김삼호는 일 은빛초등학교 주변 스쿨존어린이 보호구역에서 개학 맞이 교통안전 캠페인을 전개했다고 밝혔다 이번 캠페인에는 도로교통공단 광주전남지부 광산녹색어머니회 
서울시, <b>어린이보호구역</b> 불법 주·정차 특별단속 나서,http://www.consumernews.co.kr/news/articleView.html?idxno=634743,서울시는 학기 개학을 맞이해 교통사고 없는 안전한 등하굣길 조성을 위해 오는 일부터 일까지 일간 어린이보호구역 불법 주정차 특별단속을 실시한다고 밝혔다 단속 대상은 곳으로 사고위험성이 높은 
경찰, 초등학교 ‘전면 등교’에 맞춰 <b>어린이보호구역</b> 집중단속 실시,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004960647,서울경찰청은 다음 달 일부터 예정된 초등학교 전면등교에 맞춰 어린이 교통사고 예방을 위한 어린이보호구역 교통법규위반 및 불법 주정차 집중 단속을 실시한다고 일 밝혔다 경찰이 최근 년간 상반기 
개학 맞아 '<b>어린이보호구역</b> 불법 주·정차'특별단속...서울시 &quot;위반차량 무관...,http://www.newspim.com/news/view/20210902000564,학기 초중고등학교 전면 등교에 따라 어린이보호구역내 불법 주정차에 대한 특별단속이 이뤄진다 일 서울시에 따르면 오는 일부터 일까지 일간 자치구경찰청 합동으로 어린이보호구역 불법 주정차 
삼양식품 총괄사장, '<b>어린이</b> 교통안전 릴레이 챌린지' 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010679042,어린이 교통안전 릴레이 챌린지는 지난해 월부터 진행되고 있는 캠페인으로 어린이 보호구역 안에서 발생하는 교통사고에 대한 경각심을 일깨우고 어린이 보호를 최우선으로 하는 교통안전 문화를 정착시키기 위해 
&quot;안전한 등하굣길 조성&quot;… 서울시, 개학 맞아 <b>어린이보호구역</b> 불법 주·정차 ...,http://www.newdaily.co.kr/site/data/html/2021/09/02/2021090200131.html,뉴데일리 노경민 기자  서울시가 학기 개학을 맞아 안전한 등하굣길 조성을 위해 어린이보호구역내 불법 주정차에 대한 특별단속을 벌이기로 했다 서울시는 오는 일부터 일까지 일간 자치구경찰청 합동으로 
김만기 프리드라이프 대표, ‘<b>어린이</b> 교통안전 챌린지’ 동참,https://daily.hankooki.com/lpage/industry/202109/dh20210903091419147950.htm?s_ref=nv,김 대표는 중구 프리드라이프 본사에서 본 캠페인 슬로건인 어린이 보호구역 단 멈춤 쪽 저쪽 초 동안 고 예방의 의미와 중요성을 임직원에 전하고 적극적인 동참을 강조하며 릴레이 캠페인을 실천했다 
심미선 신양화학 대표, '<b>어린이</b> 교통안전 릴레이 챌린지' 동참,http://www.m-i.kr/news/articleView.html?idxno=859263,어린이 교통안전 챌린지는 지난해 월 행정안전부에서 어린이 교통안전에 대한 국민적 관심을 높이고 어린이 보호구역내 교통사고 예방과 어린이 보호를 최우선으로 하는 문화를 정착시키기 위해 시작한 캠페인이다 
&quot;800만원 달라&quot;… <b>어린이보호구역</b>서 사고난 아이 아버지, 합의금 요구,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=417&aid=0000730144,차량이 어린이보호구역에서 주행을 하다 왼쪽 건물에서 뛰어나온 어린이와 부딪히는 사고가 발생했다 몇 달 후 차주는 어린이의 아버지가 합의금으로 만원을 요구한다는 보험사의 연락을 들었다 차주는 합의와 
LG디스플레이, <b>어린이</b> 빗길 교통안전 위한 투명우산 전달,http://www.newsway.co.kr/news/view?tp=1&ud=2021090208431263362,디스플레이는 투명한 소재와 빛을 반사할 수 있는 재질을 사용해 우산을 제작했으며 우산 한쪽에는 어린이 보호구역스쿨존 내 제한 속도인 를 새겨 넣었다 디스플레이 관계자는 어린이 교통안전을 
송민헌 인천경찰청장, 신광초교 <b>어린이보호구역</b> 안전점검,http://www.joongboo.com/news/articleView.html?idxno=363501473,송민헌 인천경찰청장이 신광초등학교 어린이보호구역에서 안전실태를 점검하고 있다 사진인천경찰청 송민헌 인천경찰청장은 일 신광초등학교 어린이보호구역 안전실태를 점검했다 이날 송청장은 중구청장 
김해시, 60억 투입 <b>어린이보호구역</b> 안전 강화,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010679636,기사내용 요약전 초등학교 과속단속카메라 설치 목표 연도 년 앞당겨 내년 완료 경남 김해시는 억원의 사업비를 투자해 올해 말까지 관내 전체 개 초등학교 어린이보호구역의 안전을 강화한다고 일 밝혔다 
신광초교 <b>어린이보호구역</b> 내, ‘화물차 통행제한’ 전면 시행,https://ilyo.co.kr/?ac=article_view&entry_id=410743,인천광역시자치경찰위원회위원장 이병록는 안전한 어린이 통학로 확보와 어린이교통사고 예방을 위해 월 일부터 신광초등학교 어린이보호구역 내 화물차 통행제한이 주중 오후 시부터 시까지 초등학교 
성남시, <b>어린이</b> 기호식품 조리·판매 470개소 지도 점검,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=468&aid=0000786602,점검 대상은 학교 주변  내 어린이 식품안전보호구역 곳에 있는 일반휴게음식점 편의점 문구점 슈퍼 학교 매점 등이다 시는 떡볶이 과자 빵 음료 등 식품의 유통기한 경과 여부 영양성분 무표시 제품의 
울산 남구, <b>어린이 보호구역</b> 7곳 개선 사업 추진,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010682810,사업 대상지 가운데 송화어린이집에는 어린이보호구역 표지판 등 신규시설물을 설치한다 남산초등학교 등 개 학교에는 고원식횡단보도 안전펜스 설치 등 안전시설물 보강공사에 들어간다 월평초등학교는 
<b>어린이보호구역</b> 위로 무너진 철거공사 현장 가림막,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005579047,일 서울 청담동의 한 철거 공사 현장에 가림막이 붕괴돼 어린이 보호구역으로 쓰러져 있다 경찰에 따르면 이날 오전 시 분께 가림막 가량이 옆으로 쓰러졌으며 이 사고로 다친 사람은 없었다 뉴스
광양시, <b>어린이보호구역</b> 17개소 불법주정차 단속 CCTV 운영,https://daily.hankooki.com/lpage/society/202108/dh20210831152737148510.htm?s_ref=nv,전남 광양시가 어린이 교통사고 예방을 위해 어린이보호구역 개소에 불법주정차 단속 를 설치하고 월 일부터 보호구역 내 불법주정차 차량에 과태료 만 원을 부과한다 시는 도로교통법 시행령 개정에 
김제시 <b>어린이보호구역</b> 불법주정차 무인카메라 단속 홍보 추진,https://www.wikitree.co.kr/articles/686002,전북 김제시는 지난 일 김제 초등학교에서 김제 경찰서와 합동으로 어린이보호구역 불법주정차 무인카메라 단속과 관련하여 홍보 캠페인을 추진하였다김제시는 최근 도로교통법이 개정 시행되고 어린이보호구역내 
강동구, 10월 <b>어린이 보호구역</b> 노상주차장 일제 정비,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010684183,기사내용 요약주차장법 도로교통법 개정 등에 따라 월일자로 정비 주택가 소규모 주차장 확충 공유 주차 활성화 계획 서울 강동구는 오는 월일부터 관내 모든 어린이 보호구역 내 노상주차장을 일제 정비한다고 
[포토] 럭셔리 겨울 구스다운 이불 브랜드 크라운구스, '<b>어린이</b> 교통안전 릴레...,http://www.stardailynews.co.kr/news/articleView.html?idxno=307204,지난해 월부터 행정안전부 주최로 시작된 어린이 교통안전 릴레이 챌린지는 어린이 보호구역 내 안전한 교통 문화 정착을 위해 마련된 공익 릴레이 캠페인이다 이번 캠페인에는 콘래드 서울 메르세데스벤츠 
<b>어린이보호구역</b> 불법 주·정차 위반차량 무관용 원칙 특별단속,http://www.psnews.co.kr/news/articleView.html?idxno=2000967,시구서울경찰 어린이보호구역 합동 집중단속 모습 출처  서울시 서울시는 코로나 위기 속에 학기 개학을 맞이하여 교통사고 없는 안전한 등하굣길 조성을 위해 오는 월 일월부터 일금까지 일간 
인천 서구, <b>어린이</b>교통사고 예방 '등굣길 교통안전 캠페인' 실시,http://www.globalepic.co.kr/view.php?ud=202109081451044715feed5597e4_29,대상으로 어린이보호구역 내 안전속도 준수 불법 주정차 금지 등을 홍보하는 캠페인을 펼쳤다 이어 서구는 안전한 등굣길을 만들기 위해 위험 요소와 학교 주변 취약 사항에 대해 현장점검도 실시했다 한편 서구는 
<b>어린이 보호구역</b> 점검하는 최관호 서울경찰청장,http://www.newspim.com/news/view/20210906000170, 문석진 서대문구청장 최관호 서울경찰청장과 참석자들이 일 오전 서울 서대문구 연가초등학교 인근 어린이보호구역에서 등굣길 교통안전 점검을 하고 있다 
<b>어린이</b> 교통사고 예방 위한 스쿨존 전주 도색작업,http://www.kado.net/news/articleView.html?idxno=1090661,년 월부터 어린이보호구역 내 안전의무 부주의로 어린이 사망상해사고를 일으킨 가해자를 가중처벌하는 내용의 특정범죄 가중처벌 등에 관한 법률 일부 개정안일명 민식이법이 시행되고 있다 어린이 보호구역 
남양주시 조안면 <b>어린이</b>들 대체 무슨일로 대권 후보자들에게 손편지를?,http://www.breaknews.com/833874,어린이들이 일 상수원 규제 개선의 간절한 희망을 담은 소망 편지를 주요 대권 후보자들에게 부쳤다 조안면은 년 개발제한구역을 따라 상수원보호구역으로 
울산 남구, <b>어린이 보호구역</b> 개선사업 시행,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005561479,울산 남구는 통학생들의 교통사고를 예방하기 위해 년 어린이 보호구역 개선사업을 추진한다고 일 밝혔다 올해 개선사업은 곳에서 시행된다 남구는 어린이 보호구역으로 신규 지정된 송화어린이집에 보호구역 
여수시, <b>어린이보호구역</b> 안전시설물 37대 '확대 설치',http://news.lghellovision.net/news/newsView.do?soCode=SCE0000000&idx=318610,여수시가 어린이보호구역 안전시설물을 추가로 마련합니다 안전시설물은 국비와 시비를 합한 억 원을 투입해 확대 설치됐으며 무인 교통 단속 장비 대와 교통신호기 대입니다 여수시는 어린이 교통사고 예방을 
군산경찰서, <b>어린이보호구역</b> 무인단속장비 설치,http://www.jeollailbo.com/news/articleView.html?idxno=636615,군산경찰서서장 임종명는 민식이법 시행과 어린이들의 안전한 통학로 조성을 위해 월부터 어린이보호구역 내에 무인교통 단속장비를 월명초교 등 대 설치하기 시작 월 중 설치 완료할 예정이라고 일 밝혔다 이번 
인천 신광초교 <b>어린이보호구역</b> 9월 1일부터 '화물차 통행제한',http://www.incheonnews.com/news/articleView.html?idxno=403733,톤 이상 화물차 대형 특수차 건설기계 차량 대상 화물차 통행제한 간판 인천시자치경찰위원회는 안전한 어린이 통학로 확보와 어린이교통사고 예방을 위해 월 일부터 신광초등학교 어린이보호구역 내 화물차 
