제목,링크,내용
강진군, <b>어린이보호구역</b> 휴일 점멸 시범 운영,https://www.wikitree.co.kr/articles/689863,군은 현재 관내 학교 앞 어린이보호구역의 신호등을 야간에는 부분 점멸해 운영하고 있다 박정식 안전재난교통과장은 군민과 강진을 찾는 관광객에게 쾌적하고 편리한 교통생활을 제공하기 위해 개선이 
<b>어린이보호구역</b> 불법주정차 주민신고제 시행 1년만에 10만건 넘어,https://www.safetynews.co.kr/news/articleView.html?idxno=207912,어린이보호구역내 불법으로 주차된 차량이 견인되는 모습  안전신문 자료사진 행안부 안전신문고 대 불법주정차로 지난해 월 새롭게 추가된 어린이보호구역 불법주정차가 년만에 만건이 신고된 
성낙훈 함안소방서장, '<b>어린이</b> 교통안전 릴레이 챌린지' 동참,http://www.gnnews.co.kr/news/articleView.html?idxno=483366,함안소방서는 최근 성낙훈사진 서장이 어린이보호구역 내 교통안전 문화 정착과 사고예방을 위한 어린이 교통안전 릴레이 챌린지에 동참했다고 일 밝혔다 성 서장은 미래의 주역인 어린이들이 안전하게 자라도록 
장수경찰서, <b>어린이</b> 등굣길 교통안전 활동,http://sjbnews.com/news/news.php?number=723811,이날 활동은 교통안전 어린이 홍보용품 배부와 함께 교통지도 활동을 전개하고 어린이보호구역 내 불법 주정차 근절을 위한 단속 활동도 병행했다 경찰서는 앞으로도 초등학교 통학로 주변을 중심으로 어린이 안전을 
민식이법 1년 반..<b>어린이보호구역</b> 불법 주정차 여전,https://tjmbc.co.kr/article/A1l0lUqbqv,어린이보호구역 내 교통사고 예방을 위한 이른바 민식이법이 시행된 지 년 반이 지났지만 어린이보호구역 내 불법 주정차는 여전한 것으로 나타났습니다 더불어민주당 한병도 의원의 국정감사 자료에 따르면 
서초구, 모든 <b>어린이보호구역</b>에 과속단속카메라 설치,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010708180,기사내용 요약연말까지 설치 완료 전국 지자체 중 최초 서울 서초구는 연말까지 모든 어린이보호구역에 과속단속 카메라 설치를 완료할 것이라고 일 밝혔다 이렇게 되면 전국 지자체 중 모든 보호구역 내 카메라를 대 
[B tv 인천뉴스] 인천시, <b>어린이보호구역</b> 교차로 신호등 교체,http://ch1.skbroadband.com/content/view?parent_no=24&content_no=58&p_no=129934,인천시가 인천경찰청과 함께 모든 어린이보호구역내 교차로를 노란신호등으로 교체합니다 초등학교 등 개교 일대 교차로 곳을 노란신호등으로 교체해 차량 속도  서행과 보행자 주의 환기로 
이삼규 대산면장 `<b>어린이</b> 교통안전 챌린지`,http://www.gnmaeil.com/news/articleView.html?idxno=480170,창원시 의창구 대산면 이삼규 면장은 지난 일 어린이 교통안전 릴레이 챌린지에 동참하며 어린이보호구역 내 교통사고 예방률 높이기에 나섰다 보호구역 내 안전 공감대 형성 모든 주민 일상에서 함께 동참 창원시 
성낙훈 함안소방서장, ‘<b>어린이</b> 교통안전 릴레이 챌린지’ 동참,http://fpn119.co.kr/164426,챌린지에 동참한 성낙훈 함안소방서장 성낙훈 함안소방서장이 어린이보호구역 내 교통안전 문화 정착과 사고예방을 위해어린이 교통안전 릴레이 챌린지에 동참했다 어린이 교통안전 릴레이 챌린지 캠페인은 
대선주조 조우현 대표, ‘<b>어린이</b> 교통안전 릴레이 챌린지’ 캠페인 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=081&aid=0003216706,어린이 교통안전 릴레이 챌린지 캠페인은 지난해 월 행정안전부에서 어린이 교통안전에 대한 국민적 관심을 높이고 어린이 보호구역 내 교통사고 예방과 어린이 보호를 최우선으로 하는 문화를 정착시키기 위해 
조우현 대선주조 대표, ‘<b>어린이</b> 교통안전 릴레이 챌린지’ 캠페인 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=011&aid=0003963538,조우현 대선주조 대표가 운전자들의 어린이 보호구역 내 교통사고 예방을 위해 나섰다 대선주조는 일 조 대표가 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 캠페인에 
전남, <b>어린이 보호구역</b> 681개소 중 501개소 설치,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001886478,전남경찰청청장 김재규과 전남자치경찰위원회위원장 조만형는 관내 어린이보호구역 개소 중 개소에 대한 설치를 완료하여 약 에 해당하는 보호구역에 무인단속카메라 설치를 완료하였다고 밝혔다 일 
서초구, 모든 <b>어린이 보호구역</b> 내 '과속 단속' 카메라 설치,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005589526,이에 구는 년부터 간선도로 위주로 경찰에서만 설치됐던 과속 단속 카메라과속 신호위반 단속를 경찰과 협의해 지역 내 어린이보호구역 전체에 설치 시작하기 시작했다 특정범죄 가중처벌 등에 관한 법률이하 
대선주조 조우현 대표, <b>어린이 보호구역</b> 교통안전 문화 조성 캠페인 참여,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=082&aid=0001120099,어린이 교통 안전 릴레이 챌린지 캠페인은 지난해 월 행정안전부에서 어린이 교통안전에 대한 국민적 관심을 높이고 어린이 보호구역 내 교통사고 예방과 어린이 보호를 최우선으로 하는 문화를 정착시키기 위해 
여수시, <b>어린이보호구역</b> 22개소 교통안전시설물 확충,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005588332,전남 여수시는 어린이들의 안전한 등하굣길을 위해 어린이보호구역 개소에 교통안전시설물을 확충했다고 일 밝혔다 시는 올해 국비 확보 등 약 억 원의 예산을 확보하고 어린이보호구역에 무인교통단속장비와 
인천시, <b>어린이보호구역</b> 내 교차로 노란신호등으로 교체,http://www.incheonnews.com/news/articleView.html?idxno=403941,어린이보호구역 내 교차로 개소에서 개소확대 설치 차량운전자와 보행자의 시인성 대폭 향상 보호구역 식별용이 남동구 성리초교 노란신호등 설치 인천시가 어린이들의 안전한 보행환경 조성을 
박용준 삼진식품 대표, <b>어린이</b> 교통안전 릴레이 챌린지 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=015&aid=0004604608,어린이 교통안전 릴레이 챌린지는 어린이 보호구역 내 교통사고를 예방하고 어린이 보호 최우선 문화 정착을 위해 지난해 월 행정안전부 주도로 시작한 국민 참여 캠페인이다 어린이 횡단 중 사고 예방의 
교통사고 잦은 '<b>어린이보호구역</b>' 36곳 집중 합동점검,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004968052,행정안전부가 어린이보호구역에서의 교통사고로 인한 어린이의 안타까운 희생이 최소화하고자 교통사고가 잦은 어린이보호구역에 대한 사고원인 분석과 교통안전시설 개선을 위한 관계기관 합동 현장점검을 
서울시, 개학 맞아 '<b>어린이보호구역</b> 불법 주·정차' 특별단속,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004702332,서울시는 개학을 맞아 안전한 등하굣길 조성을 위해 오는 일 어린이보호구역 불법 주정차 특별단속을 한다고 일 밝혔다 어린이보호구역 개소를 대상으로 실시하는 이번 특별단속은 서울시와 개 자치구 
<b>어린이보호구역</b> 차량 사망사고 운전자 징역형,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=422&aid=0000503766,딸과 유치원으로 향하던 어머니를 어린이보호구역에서 차로 치어 숨지게 한 운전자가 실형을 선고받았습니다 재판부는 운전자가 어린이보호구역이 있다는 것을 알면서도 사고를 내 주의 의무를 위반한 정도가 무겁다고 
대선주조 조우현 대표, ‘<b>어린이</b> 교통안전 릴레이 챌린지’ 캠페인 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001888938,대선주조 조우현 대표가 운전자들의 어린이 보호구역 내 교통사고 예방을 위해 나섰다 대선주조는 일 조우현 대표가 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 캠페인에 
강진군, <b>어린이보호구역</b> 휴일 점멸 시범 운영,http://www.sisamagazine.co.kr/news/articleView.html?idxno=402129,군은 현재 관내 학교 앞 어린이보호구역의 신호등을 야간에는 부분 점멸해 운영하고 있다 박정식 안전재난교통과장은 군민과 강진을 찾는 관광객에게 쾌적하고 편리한 교통생활을 제공하기 위해 개선이 
일도2동, <b>어린이보호구역</b> 내 노상주차장 폐지 홍보 당부,http://www.headlinejeju.co.kr/news/articleView.html?idxno=463311,홍성철  제주시 일도동장 헤드라인제주 일도동장 홍성철은 주차장법 개정에 따른 어린이 보호구역 영락어린이집내 노상주차장 이 순차적으로 폐지됨에 따라 주민들의 불편함이 최소화 될 수 있도록 홍보를 
교통사고 잦은 <b>어린이보호구역</b> 현장 점검한다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=081&aid=0003215571,교통사고가 잦은 어린이보호구역을 대상으로 한 관계기관 합동 현장 점검이 시작된다 행정안전부는 교통사고가 건 이상 발생했거나 사망사고가 발생한 적이 있는 어린이보호구역에 대한 사고 원인 분석 및 
인천 <b>어린이 보호구역</b> '노란색 신호등' 교체,http://www.kyeongin.com/main/view.php?key=20210913010002376,인천시가 어린이 보호구역을 쉽게 알아볼 수 있도록 보호구역 내 교차로의 교통신호등을 모두 노란색으로 교체한다고 일 밝혔다 인천시는 개 초등학교 인근 개 신호등과 유치원곳 주변 개 신호등을 모두 
서초구, <b>어린이보호구역</b> 내 과속단속카메라 모두 설치,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=004&oid=079&aid=0003550583,서초구 지역 내 어린이들의 안전을 위해 어린이보호구역에 과속단속카메라가 모두 설치된다 서울 서초구구청장 조은희는 연말까지 지역내 모든 어린이보호구역초등학교 유치원 어린이집 특수학교 외국인학교에 
DB손보, 초록우산<b>어린이</b>재단과 옐로카펫·사랑나눔봉사 협약 체결,https://www.asiatoday.co.kr/view.php?key=20210927010013059,손해보험은 초록우산어린이재단과 어린이보호구역 교통안전을 위한 옐로카펫 설치 및 소외계층 지원을 위한 사랑나눔봉사 협약을 체결했다고 일 밝혔다 손해보험이 추진하고 있는 옐로 카펫 설치 
인천시, <b>어린이보호구역</b> 교차로 노란신호등으로 전면 교체,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202109131040362170338,그동안 인천시는 민식이법 관련해 어린이보호구역 교통안전시설 확충을 위해 년 억 원 년 억 원 등 국비를 지원 받았고 작년에는 억 원 교차로 개소 금년에는 총사업비 억 중 억 원을 집행해 
교통사고 잦은 <b>어린이보호구역</b> 36곳 합동 현장점검,http://www.ajunews.com/view/20210912150846869,년간 어린이 교통사고 사상자 만명 노경조 기자  어린이보호구역 사진인천계양경찰서 제공 행정안전부는 교통사고가 잦은 어린이 보호구역에 대한 사고 원인 분석과 교통안전시설 
삼진식품 박용준 대표, <b>어린이</b> 교통안전 릴레이 챌린지 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004708597,어린이 교통안전 릴레이 챌린지는 어린이 보호구역 내 교통사고를 예방하고 어린이 보호 최우선 문화 정착을 위해 지난해 월 행정안전부 주도로 시작한 국민 참여 캠페인이다 어린이 횡단 중 사고 예방의 중요성을 
<b>어린이보호구역</b> 불법 주정차 근절안돼··· '민식이법' 무색,http://www.jjn.co.kr/news/articleView.html?idxno=835212,전북지역 어린이보호구역 불법 주정차가 여전해 민식이법 시행 취지를 무색케 하고 있다는 지적이다 일 국회 행정안전위원회 소속 한병도 더불어민주당 국회의원익산 을이 행정안전부로부터 제출받은 
전주 '용흥·반월초' <b>어린이보호구역</b> 교통사고 다발지역...<b>어린이</b> 4명 사상,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=002&aid=0002209862,행안부 전주 곳 포함해 전국 곳 어린이보호구역서 합동현장점검 전북에서어린이보호구역내에서건이상의교통사고와 사망사고가발생한사고다발지역이곳인 것으로조사됐다 일 
강진군, <b>어린이보호구역</b> 신호등 휴일 점멸 시범 운영,http://www.nspna.com/news/?mode=view&newsid=527340,군은 현재 관내 학교 앞 어린이보호구역의 신호등을 야간에는 부분 점멸해 운영하고 있다 박정식 안전재난교통 과장은 군민과 강진을 찾는 관광객에게 쾌적하고 편리한 교통생활을 제공하기 위해 개선이 
전남 <b>어린이보호구역</b> 단속 카메라 설치율 73%,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=056&aid=0011119241,전남지역 어린이보호구역 안의 무인 단속 카메라 설치율이 를 넘어섰습니다 전남경찰청은 지난달까지 도내 어린이보호구역 곳 가운데 인 곳에 무인 단속 카메라를 설치했다고 밝혔습니다
강진군, <b>어린이보호구역</b> 신호등... 휴일 '점멸 시범 운영',http://www.newsworker.co.kr/news/articleView.html?idxno=129871,강진중앙초등학교 앞 어린이보호구역 지난 월 정부의 안전속도  시책 추진으로 대구초등학교 앞 신호 대기와  서행운전을 실시했으나 휴일 동안 대구면 마량면을 찾는 관광객 증가로 교통체증이 빈번하게 
인천시, <b>어린이</b> 안전 보행 팔 걷고 나서,http://www.enewstoday.co.kr/news/articleView.html?idxno=1512012,사진인천시 인천시가 어린이들의 안전한 보행환경 위해 어린이보호구역 내 교통시설을 전면 교체한다 일 시 관계자에 따르면인천경찰청과 협업해 관내 초등학교 등 개교 교차로 개소에 교통신호등을 
<b>어린이</b> 교통사고 막는다…행안부, <b>어린이보호구역</b> 현장점검,http://www.kukinews.com/newsView/kuk202109120051,사진박효상 기자 행정안전부는 어린이보호구역에서의 교통사고로 인한 어린이의 안타까운 희생이 최소화 되도록 하기 위해 교통사고가 잦은 어린이보호구역에 대한 사고원인 분석 및 교통안전시설 개선을 위한 
광주광역시 서구, <b>어린이</b> 교통안전교실 운영,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=468&aid=0000789176,찾아가는 어린이 교통안전 교실은 지난해 도로교통법 개정으로 어린이보호구역 내 교통위반 단속기준이 강화되었으나 여전히 어린이 교통사고가 줄어들지 않는 등 안전 불감증이 만연하고 있어 어린이들의 교통사고를 
민식이법 1년 반..<b>어린이보호구역</b> 불법 주정차 여전,https://tjmbc.co.kr/article/ZiSJLXcgdORWg,어린이보호구역 내 교통사고 예방을 위한 이른바 민식이법이 시행된 지 년 반이 지났지만 어린이보호구역 내 불법 주정차는 여전한 것으로 나타났습니다 더불어민주당 한병도 의원의 국정감사 자료에 따르면 
금호타이어, 전국 초등학생 대상 ‘<b>어린이</b> 교통안전교육’ 실시,http://www.viva100.com/main/view.php?key=20210930010007677,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
<b>어린이보호구역</b> 사망사고 운전자 징역 4년6개월,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=310&aid=0000090445,자녀 유치원 보내던 여성 치어 숨지게 한 대 남성 재판부 스쿨존 내 사고 주의 의무 위반정도 무겁다 세 딸의 유치원 등원에 나섰던 대 여성을 어린이보호구역스쿨존 내 횡단보도에서 차량으로 치어 숨지게 한 
삼진식품 박용준 대표, <b>어린이</b> 교통안전 릴레이 챌린지 동참,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004969064,어린이 교통안전 릴레이 챌린지는 어린이 보호구역 내 교통사고를 예방하고 어린이 보호를 최우선으로 하는 문화캠페인다 지난해 월 행정안전부 주도로 시작됐다 어린이 횡단 중 사고 예방의 중요성을 알리는 
대선주조 조우현 대표, '<b>어린이</b> 교통안전 릴레이 챌린지',http://www.gnnews.co.kr/news/articleView.html?idxno=483148,어린이 교통안전 릴레이 챌린지는 행정안전부가 어린이 교통안전에 대한 국민적 관심을 높이고 어린이 보호구역 내 교통사고 예방과 어린이 보호를 최우선으로 하는 문화를 정착시키기 위해 추진하는 캠페인이다 
홍성군, <b>어린이 보호구역</b> 교통안전 캠페인 실시,http://www.shinailbo.co.kr/news/articleView.html?idxno=1460478,충남 홍성군이일 홍성초등학교 일대에서 안전한 등하굣길 조성과 어린이보호구역 내 안전 운전 등 교통안전 문화 정착과 안전 인식 개선을 위한어린이 보호구역 교통안전 캠페인을 전개했다 이날 군청 건설교통과 
'갑툭튀' 스쿨존 <b>어린이</b>에 '가슴 철렁'…'패가망신' 걱정에 운전 두렵다면[세...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=009&aid=0004851248,전쟁보다 무서운 보행자 사고 한번만 막아줘도 값 뽑는다 운전자는 안심 보행자는 안전 세상만 씨는 지난 월 스쿨존어린이 보호구역에서 시속 로 서행하던 중 갑자기 튀어나온 아이를 미처 보지 못해 
인천시, <b>어린이보호구역</b> 내 교차로 노란신호등으로 바꾼다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003619726,인천시가 어린이보호구역스쿨존의 안전한 교통환경 조성에 나선다 인천경찰청과 협업해 관내 초등학교 등 개교 교차로 개소에 교통신호를 알리는 등을 노란신호등으로 교체한다 일 인천시에 따르면 
인천시, <b>어린이보호구역</b>내 모든 신호등 노란색으로 교체,https://www.safetynews.co.kr/news/articleView.html?idxno=207763,운전자들이 어린이보호구역을 쉽게 인식할 수 있도록 인천 시내 보호구역내 모든 신호등이 노란색으로 교체된다 인천광역시는 인천경찰청과 협업해 관내 초등학교 등 개교 교차로 개소에 교통신호등을 
<b>어린이 보호구역</b>서 초등생 친 택시기사 '벌금 300만원',https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003550778,제주지방법원 제형사부재판장 장찬수 부장판사는 특정범죄 가중처벌 등에 관한 법률 위반어린이보호구역 치상 혐의로 기소된 씨에게 벌금 만 원을 선고했다고 일 밝혔다 재판부는 이 사건 사고 장소가 
[포토] <b>어린이 보호구역</b> 집중 현장점검 실시,http://www.nbntv.co.kr/news/articleView.html?idxno=934685,사진은 해당 장소와 무관 지난 일 행정안전부는 어린이보호구역에서의 교통사고로 인한 어린이의 안타까운 희생이 최소화 되도록 하기 위해 교통사고가 잦은 어린이보호구역에 대한 사고원인 분석 및 교통안전시설 
서초구, 관내 모든 <b>어린이보호구역</b>에 '과속단속카메라'···전국 최초 [서울...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=032&aid=0003096921,서울 서초구 관내 모든 어린이보호구역에 과속단속카메라가 설치된다 서초구는 어린이집유치원초등학교특수학교외국인학교 등 어린이보호구역으로 지정된 관내 모든 지역에 연말까지 과속단속카메라 설치를 
서울시, <b>어린이보호구역</b> 불법 주·정차 특별단속…1750개소 대상,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010697958,기사내용 요약총 개조 명 단속반 편성등하교 시간대 집중 단속 서울시는 학기 개학을 맞아 교통사고 없는 안전한 등하굣길 조성을 위해 오는 월일부터 일까지 일간 어린이보호구역 불법 주정차 
홍성군, '<b>어린이 보호구역</b> 교통안전 캠페인' 전개,http://www.nspna.com/news/?mode=view&newsid=526713,이광용 기자 홍성군군수 김석환이 일 홍성초등학교 일대에서 안전한 등하굣길 조성과 어린이보호구역 내 안전 운전 등 교통안전 문화 정착과 안전 인식 개선을 위해 어린이 보호구역 교통안전 캠페인을 
민식이법 시행했지만… <b>어린이보호구역</b> 교통사고 속출,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202109121407013870179,지난해 명 사상 행안부 위험도 점검 거쳐 연내 시설 개선 서울 광진초개봉초 인근 등 교통사고가 많은 어린이보호구역에 대한 특별점검이 추진된다지난해 월 도로교통법이 개정돼 학교 앞 어린이 
7월 오후 2~4시 2학년 <b>어린이</b>, 스쿨존 교통사고 발생 위험 가장 높아,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=008&aid=0004643976,야외활동이 많은 월 오후 시에서 오후 시 사이 학년 어린이가 어린이보호구역 교통사고 빈도가 높다는 조사 결과가 나왔다 행정안전부는 일 이를 토대로 어린이 교통사고를 최소화하기 위한 관계기관 합동 
<b>어린이 보호구역</b>서 횡단보도 건너는 아이 들이받은 70대 택시 운전사,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003618001,벌금 만원 어린이 보호구역에서 횡단보도를 건너는 어린이를 들이받은 대 택시 운전사가 벌금 만원을 선고받았다 제주지방법원 제형사부재판장 장찬수 부장판사는 특정범죄 가중처벌 등에 관한 법률 위반 
[클릭! 자치뉴스] 서초구, 全 <b>어린이보호구역</b> 내 과속단속카메라 설치 외,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=469&aid=0000628442,서초구 모든 어린이보후구역에 단속카메라 설치 전국 최초 서울 서초구구청장 조은희는 연말까지 지역 내 모든 어린이보호구역에 과속단속카메라를 설치할 예정이라고 일 밝혔다 어린이보후구역 내 
서울 '<b>어린이 보호구역</b> 불법 주정차' 특별단속…무관용 원칙,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005578825,백호 서울시 도시교통실장은 어린이보호구역에 대한 과태료 배 인상 등에도 계속해서 주정차 위반차량이 발생하고 있어 서울시는 자치구 경찰과의 긴밀한 협조로 주정차 위반차량에 대한 단속을 지속적으로 
전남 <b>어린이보호구역</b> 내 교통위반 ‘꼼짝마!’,http://www.kukinews.com/newsView/kuk202109130139,전남경찰청에 따르면 올해 월말 기준 도내 어린이보호구역 개소 중 약 인 개소에 무인단속카메라 설치를 완료했다 전남도내 어린이보호구역의 에 무인 단속카메라가 설치됐다 전남경찰청에 따르면 
이재현 서구청장 “<b>어린이</b>가 안전한 교통안전도시 만들 것”,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010708113,이들은 등교 시간에 맞춰 학생과 학부모들을 대상으로 어린이보호구역 내 안전속도 준수 불법 주정차 금지 등을 홍보하는 캠페인을 펼쳤다 이어 서구는 안전한 등굣길을 만들기 위해 위험 요소와 학교 주변 취약 사항에 
[독자의 창]함께 만드는 <b>어린이 보호구역</b> 안전,http://sjbnews.com/news/news.php?number=722834,가장 중요한 것은 운전자가 어린이보호구역에서 주의와 함께 올바른 운전습관을 가지고 운전하는 것이다 운전자는 첫째로 어린이보호구역 내에서는 어린이 보행자와 다른 차량의 시야 확보를 위해 불법 주정차를 
“스쿨존은 알아도 실버존은 몰라요”… 관심 사각지대 ‘노인<b>보호구역</b>’,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=366&aid=0000760095,근처 카페에서 일하는 허모씨는 여기서 일한지 년 정도 됐는데 카페 바로 앞이 실버존인 것은 오늘 처음 들었다며 어린이보호구역이나 여성안심 귀갓길에 대해선 들어봤었는데 사실 실버존에 대해 오늘 처음 
&quot;짜장면집이라도 생길 수 있게 해주세요&quot;…남양주 <b>어린이</b>들 대권 주자에 편지,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=100&oid=018&aid=0005036532,편지를 쓰고 있는 조안면 거주 어린이사진남양주시 제공정 양의 부모는 년 상수도보호구역 내 불법음식점의 대대적인 단속으로 가게 문을 닫았다 조안면은 년 개발제한구역을 따라 상수원보호구역으로 
서초구, 전국 최초 모든 <b>어린이보호구역</b> 내 과속단속카메라 설치한 이유?,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004965864,서초구구청장 조은희는 연말까지 지역내 모든 어린이보호구역초등학교 유치원 어린이집 특수학교 외국인학교에 과속단속카메라 설치를 완료할 것이라고 밝혔다 이는 전국에서 가장 빠르게 모든 보호구역 내 대 
교통사고 잦은 <b>어린이보호구역</b> 36곳 합동 현장점검 실시,https://www.safetynews.co.kr/news/articleView.html?idxno=207762,행정안전부가 어린이보호구역내 교통사고를 예방키 위해 관계기관과 함께 어린이보호구역 현장점검을 실시한다 행안부는 일부터 일까지 교통사고가 건 이상 발생했거나 사망사고가 발생한 전국 개의 
광주 서구, <b>어린이</b> 교통안전교실 운영,https://www.wikitree.co.kr/articles/688562,찾아가는 어린이 교통안전 교실은 지난해 도로교통법 개정으로 어린이보호구역 내 교통위반 단속기준이 강화되었으나 여전히 어린이 교통사고가 줄어들지 않는 등 안전 불감증이 만연하고 있어 어린이들의 
구로구, ‘스마트 횡단보도’ 확충…<b>어린이</b> 교통 안전 강화,http://www.shinailbo.co.kr/news/articleView.html?idxno=1461081,서울시 구로구가 관내 어린이보호구역 곳에 스마트 횡단보도를 추가 설치했다 구는 교통사고 없는 안전한 통학로 조성을 위해 고산초등학교 오정초등학교 항동초등학교 인근에 스마트 횡단보도를 최근 
삼진식품 박용준 대표,<b>어린이</b> 교통안전 릴레이 챌린지 동참,https://ilyo.co.kr/?ac=article_view&entry_id=411768,어린이 교통안전 릴레이 챌린지는 어린이 보호구역 내 교통사고를 예방하고 어린이 보호 최우선 문화 정착을 위해 지난해 월 행정안전부 주도로 시작한 국민 참여 캠페인이다 어린이 횡단 중 사고 예방의 
인천시, 모든 <b>어린이보호구역</b> 내 교차로 노란신호등으로 전면 교체,http://www.kmaeil.com/news/articleView.html?idxno=304577,사진제공인천시 인천시가 어린이들의 안전한 보행환경 조성을 위해 어린이보호구역을 쉽게 알아볼 수 있도록 추진한다 인천광역시는 인천경찰청과 협업해 관내 초등학교 등 개교 교차로 개소에 교통신호등을 
대선주조 조우현 대표, ‘<b>어린이</b> 교통안전 릴레이 챌린지’ 캠페인 동참,https://ilyo.co.kr/?ac=article_view&entry_id=411985,대선주조 조우현 대표가 운전자들의 어린이 보호구역 내 교통사고 예방을 위해 나섰다 대선주조는 대선주조 조우현 대표가 일 어린이 보호구역 내 교통안전 문화를 확산하기 위한 어린이 교통안전 릴레이 챌린지 
서울시, 2학기 개학 맞이 ‘<b>어린이보호구역</b> 불법 주·정차’ 특별 단속,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=056&aid=0011113094,학기 개학을 맞아 서울시가 어린이보호구역 불법 주정차 특별단속을 실시합니다 서울시는 오는 일부터 일까지 어린이보호구역 곳을 대상으로 불법 주정차 특별 단속을 실시한다고 오늘일 밝혔습니다 
강원도내 <b>어린이보호구역</b> 과속단속 ,전체 단속의 49%, 왜?,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004700638,강원도내 어린이보호구역 단속건수가 도내 전체 단속 건수의 를 차지한 것으로 파악됐다 일 강원도경찰청에 따르면 일명 민식이법 시행에 따라 도내 어린이보호구역에 과속단속장비 대를 설치 지난   
인천 신광초 <b>어린이보호구역</b>, 화물차 통행제한 실시,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=056&aid=0011111512,지난 월 화물차에 초등학생이 치어 숨지는 사고가 발생했던 인천시 중구 신광초등학교 어린이보호구역의 화물차 통행이 내일월 일부터 전면 제한됩니다 인천광역시 자치경찰위원회는 월부터 하교 시간인 평일 
행안부 &quot;교통사고 잦은 <b>어린이보호구역</b> 집중 점검&quot;,http://www.safetimes.co.kr/news/articleView.html?idxno=100432, 행정안전부는 교통사고가 잦은 어린이보호구역에 대한 사고원인 분석과 교통안전시설 개선을 위해 관계기관과 합동 현장점검을 한다  김소연 기자 행정안전부는 교통사고가 잦은 어린이보호구역에 대한 
스쿨존서 <b>어린이</b> 들이받은 70대 택시 운전사 '벌금 300만원',https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005590019,어린이 보호구역에서 횡단보도를 건너는 어린이를 들이받은 대 택시 운전사가 벌금 만원을 선고받았다 제주지방법원 제형사부재판장 장찬수 부장판사는 특정범죄 가중처벌 등에 관한 법률 위반어린이 
